LSOA21CD,MEAN_NEAR_DIST,MIN_NEAR_DIST,MAX_NEAR_DIST,VARIANCE_NEAR_DIST,MEDIAN_NEAR_DIST
E01005069,0.232660479,0.19235173,0.293663723,0.002177263,0.222313231
E01005070,0.107457161,0.021098206,0.162151448,0.003743093,0.123289495
E01005071,0.070280351,0.029966052,0.114487216,0.001681877,0.068334068
E01005072,0.047374939,0.015770194,0.082896583,0.000841254,0.045416489
E01005073,0.106028896,0.014717377,0.213909088,0.008778299,0.097744558
E01005074,0.101225914,0.051163421,0.180061325,0.003045719,0.086839456
E01005075,0.121083012,0.043064103,0.188764445,0.005229392,0.12625175
E01005076,0.085510001,0.050278038,0.162943878,0.00272191,0.064409044
E01005077,0.066689521,0.008484516,0.149618747,0.003548788,0.054327411
E01005078,0.099553762,0.004169326,0.219988036,0.00850156,0.087028844
E01005079,0.209692047,0.086419417,0.427333757,0.023276169,0.162507507
E01005081,0.100462967,0.029115433,0.207287267,0.007384837,0.082724585
E01005082,0.126862257,0.013285642,0.401935324,0.034195956,0.046114031
E01005083,0.037168618,0.012855657,0.087893989,0.001198396,0.023962414
E01005084,0.08653316,0.01378079,0.218117884,0.008416871,0.057116983
E01005085,0.064092125,0.027016642,0.10848037,0.001198449,0.060435743
E01005086,0.077861389,0.049892477,0.090331613,0.000353533,0.085610733
E01005087,0.08254855,0.066519201,0.108792616,0.000408457,0.077441192
E01005088,0.078192914,0.031067705,0.208163731,0.007517285,0.036770111
E01005089,0.091275041,0.008311935,0.223467792,0.008546406,0.066660219
E01005090,0.068792784,0.05200975,0.087656361,0.000226218,0.067752512
E01005091,0.12027433,0.050342826,0.259858269,0.009121743,0.085448113
E01005092,0.042680331,0.028385311,0.070569909,0.000363677,0.035883052
E01005093,0.045170698,0.013882912,0.071737448,0.000582053,0.047531217
E01005094,0.138070037,0.074732273,0.229738332,0.004272319,0.123904772
E01005097,0.253995882,0.115075513,0.481125943,0.027434032,0.209891036
E01005098,0.133065438,0.04239709,0.209413584,0.004863941,0.14022554
E01005099,0.073897604,0.036428198,0.09884898,0.000924749,0.080156619
E01005100,0.303700602,0.068436415,0.492000595,0.033355241,0.327182698
E01005101,0.07713345,0.024278612,0.144840792,0.002607767,0.069707197
E01005102,0.048448656,0.010261161,0.096898402,0.001931218,0.043317529
E01005103,0.115001052,0.020210523,0.256148397,0.01150165,0.091822645
E01005104,0.06373108,0.024064401,0.106039613,0.001136216,0.062410153
E01005105,0.089743573,0.040685284,0.143867704,0.002204028,0.087210653
E01005106,0.081814336,0.04784138,0.132591516,0.001689839,0.073412223
E01005107,0.214158474,0.133222225,0.298111193,0.00459396,0.21265024
E01005111,0.060676751,0.024085622,0.107982438,0.00134512,0.055319473
E01005112,0.110947907,0.054249585,0.156761498,0.002446899,0.116390273
E01005113,0.112631371,0.038171002,0.185180446,0.003875084,0.113587018
E01005114,0.069386452,0.053362904,0.098646942,0.000400196,0.062767981
E01005115,0.032229208,0.015640294,0.04488348,0.000158086,0.034196528
E01005116,0.049885558,0.043602729,0.057865943,3.70741E-05,0.04903678
E01005117,0.115177991,0.045294783,0.167856484,0.003823678,0.123780348
E01005118,0.101791811,0.05353879,0.166925519,0.002624182,0.093351467
E01005119,0.037224206,0.011995702,0.063432884,0.000591687,0.036734118
E01005120,0.075742989,0.040194833,0.150730076,0.002557155,0.056023524
E01005121,0.075888417,0.04931385,0.097740009,0.000431278,0.078249904
E01005122,0.109212674,0.096388164,0.12219618,0.000204805,0.109133176
E01005123,0.116780196,0.062650309,0.175019292,0.00235667,0.114725592
E01005124,0.143279337,0.084134873,0.250661453,0.005397555,0.11916051
E01005125,0.036188094,0.002377814,0.09492162,0.001640857,0.023726471
E01005126,0.065811185,0.036651435,0.087573628,0.000453939,0.06950984
E01005128,0.032576027,0.018221145,0.051716369,0.000240621,0.030183297
E01005129,0.049078013,0.008249802,0.11615191,0.002297549,0.03595517
E01005130,0.109122206,0.057436866,0.192853132,0.003703817,0.093099412
E01005132,0.07874381,0.042171022,0.124196584,0.001299175,0.074303817
E01005135,0.091098572,0.034739248,0.114133329,0.001426838,0.107760856
E01005136,0.076597373,0.045894132,0.157930401,0.002947137,0.05128248
E01005138,0.088105852,0.046356037,0.114921413,0.000873294,0.095572978
E01005139,0.075763287,0.025391483,0.13585874,0.002448534,0.070901463
E01005141,0.122993948,0.109738592,0.137008915,0.000174777,0.122614143
E01005142,0.068850513,0.05246318,0.110278198,0.00077461,0.056330336
E01005143,0.068271008,0.039163787,0.148158991,0.002845205,0.042880627
E01005145,0.08575797,0.010422646,0.130765123,0.002808466,0.100922056
E01005147,0.123780716,0.001294908,0.341077225,0.024706752,0.076375366
E01005149,0.046174162,0.019842108,0.068256675,0.000618688,0.048298932
E01005150,0.046617708,0.037591565,0.055536348,6.56428E-05,0.046671459
E01005151,0.098557561,0.009701511,0.221230577,0.007939369,0.081649077
E01005152,0.181316555,0.115453266,0.28261485,0.005120464,0.163599053
E01005153,0.13697558,0.020042394,0.274929298,0.012240334,0.126465313
E01005154,0.082872813,0.052637411,0.1574543,0.002490667,0.060699771
E01005155,0.140079159,0.059116841,0.214182046,0.007146492,0.143508875
E01005156,0.033319604,0.012091634,0.045890313,0.000215973,0.037648234
E01005157,0.33109972,0.306146537,0.359563856,0.00054169,0.329344244
E01005158,0.123295807,0.092557309,0.168847742,0.001103444,0.115889088
E01005159,0.217501807,0.086276706,0.507697853,0.038464943,0.138016334
E01005160,0.15100698,0.044163336,0.330580627,0.015436577,0.114641978
E01005161,0.204577052,0.121036192,0.280241563,0.004255716,0.208515227
E01005162,0.086701627,0.007353255,0.183116885,0.005971521,0.078168183
E01005163,0.109138515,0.08504419,0.13421055,0.000593319,0.10864966
E01005164,0.101257006,0.063459723,0.133167008,0.001240654,0.104200646
E01005165,0.099731194,0.035281448,0.134630595,0.00220577,0.114506367
E01005166,0.083912244,0.060295049,0.131727904,0.001047515,0.071813011
E01005167,0.070044191,0.030681269,0.108588452,0.001962921,0.070453522
E01005168,0.109062538,0.091811124,0.151521825,0.000819056,0.096458602
E01005169,0.203452991,0.162802413,0.252412949,0.002033785,0.199298302
E01005170,0.101754805,0.037287241,0.175327178,0.003317727,0.097202401
