LSOA21CD,MEAN_NEAR_DIST,MIN_NEAR_DIST,MAX_NEAR_DIST,MEDIAN_NEAR_DIST,VARIANCE_NEAR_DIST
E01006050,0.702414861,0.555786341,0.818680045,0.717596529,0.013847303
E01006051,0.771486693,0.457857668,1.237177542,0.695455781,0.138812351
E01006052,1.229128236,1.01986653,1.491268085,1.202689165,0.051642926
E01006053,1.262236913,0.835130902,1.647602183,1.283107283,0.137554219
E01006054,0.759036708,0.441250169,0.926506482,0.83419509,0.046899521
E01006055,0.671537674,0.368775948,0.946267026,0.685553862,0.065129404
E01006056,1.139419951,0.703682996,1.619343382,1.117326713,0.228361242
E01006057,0.803723737,0.730526935,0.90449007,0.789938971,0.00533839
E01006058,0.201457135,0.047313416,0.408453896,0.175030614,0.024041207
E01006059,0.468739652,0.283707032,0.893553784,0.348848896,0.08295085
E01006060,0.373963001,0.31418683,0.511612102,0.335026536,0.008521019
E01006061,1.642349724,1.159900233,2.005699119,1.701899772,0.133244806
E01006062,1.474390142,1.249000353,1.727701788,1.460429214,0.051331585
E01006063,1.543901504,1.207232207,1.817487438,1.575443185,0.064351742
E01006064,0.662688116,0.610445211,0.764552287,0.637877482,0.004798985
E01006065,1.002108505,0.862333906,1.221668926,0.962215594,0.023695431
E01006066,0.28749252,0.099915333,0.426007624,0.312023562,0.018896871
E01006067,1.75214676,1.50692142,1.96542284,1.76812139,0.044709622
E01006068,0.840733657,0.579509981,1.230221507,0.776601569,0.094951553
E01006069,1.692201712,1.568603709,1.844182916,1.678010112,0.014212536
E01006070,1.393217587,1.280811569,1.644121854,1.323968463,0.029216758
E01006071,1.764845585,1.477279332,1.949971297,1.816065856,0.04845976
E01006072,2.390390591,2.126663627,2.60385764,2.415520549,0.051234108
E01006073,3.274839785,2.358620725,4.436880171,3.151929122,0.741375384
E01006074,1.837048317,1.620184161,2.118765809,1.80462165,0.044873731
E01006075,0.613104913,0.404985942,0.922513192,0.562460259,0.056004349
E01006076,0.75017152,0.445686703,1.054765173,0.750117102,0.06187667
E01006077,0.300744483,0.205151432,0.473653023,0.262086739,0.014262829
E01006078,0.297650837,0.111379389,0.599834324,0.239694818,0.051562792
E01006079,1.286203327,0.955872574,1.635847171,1.276546781,0.078612432
E01006080,0.421623349,0.215145178,0.684932526,0.393207845,0.038979201
E01006081,1.696420764,1.375059433,2.083863097,1.663380263,0.087351156
E01006082,0.581850142,0.277894751,1.294804771,0.377350524,0.230230581
E01006083,0.379775286,0.268506675,0.552976678,0.348808897,0.015396751
E01006084,0.668584916,0.552208538,0.753264235,0.684433446,0.008009356
E01006085,0.806241041,0.551931351,1.099941744,0.786545534,0.066220065
E01006086,0.680887033,0.580445242,0.90834368,0.617379606,0.023311849
E01006087,3.218645704,2.182612635,3.796545451,3.447712365,0.518015894
E01006088,0.254826978,0.226591425,0.308711007,0.242002741,0.001364385
E01006089,0.680578109,0.510529295,0.789314854,0.711234143,0.014418059
E01006090,0.287466918,0.083772337,0.477876993,0.294109172,0.038009744
E01006091,1.650622666,1.462023661,2.021945068,1.559260968,0.069059473
E01006092,1.339317849,1.075101735,1.528833048,1.376668307,0.04263231
E01006093,0.299764115,0.171028035,0.384572922,0.32172775,0.010386553
E01006094,0.818059167,0.773512892,0.884527481,0.807098148,0.002454657
E01006095,1.774278804,0.846514154,2.589024903,1.830788079,0.597834461
E01006096,0.36493108,0.184286323,0.562404359,0.356516819,0.040055466
E01006097,0.240087781,0.062909329,0.630606294,0.13341775,0.071693989
E01006098,0.736665034,0.564613038,1.089541943,0.646252578,0.05816357
